question_text,option1,option2,option3,option4,correct_index,category
Bangladesh became a member of the United Nations in which year?,1972,1973,1974,1975,2,Bangladesh Affairs
Who is the Father of the Nation of Bangladesh?,Ziaur Rahman,A. K. Fazlul Huq,Sheikh Mujibur Rahman,H. M. Ershad,2,History
What is the national flower of Bangladesh?,Rose,Lotus,Water Lily (Shapla),Sunflower,2,General Knowledge
The Sundarbans mangrove forest is shared between Bangladesh and which country?,Myanmar,India,Nepal,Bhutan,1,Environment
Which river is formed by the confluence of the Ganges and Brahmaputra?,Meghna,Surma,Karnaphuli,Jamuna,0,Geography
In which year was the Language Movement (Bhasha Andolon) in Bangladesh?,1950,1951,1952,1953,2,History
Bangladesh Liberation War was fought in which year?,1969,1970,1971,1972,2,History
What is the national animal of Bangladesh?,Lion,Elephant,Bengal Tiger,Deer,2,General Knowledge
Which is the longest river in Bangladesh?,Meghna,Padma,Jamuna (Brahmaputra),Surma,2,Geography
What is the official language of Bangladesh?,Hindi,Urdu,Bengali (Bangla),Arabic,2,General Knowledge
The International Mother Language Day is celebrated on?,February 20,February 21,February 22,March 7,1,International
Who is the current Secretary-General of the United Nations (as of 2026)?,Ban Ki-moon,Kofi Annan,António Guterres,Boutros Ghali,2,International
What is the capital of Bangladesh?,Chittagong,Sylhet,Dhaka,Rajshahi,2,General Knowledge
Which country is the largest trading partner of Bangladesh?,India,China,USA,Germany,1,Economics
What percentage of Bangladesh's export earnings comes from the garment industry?,50%,65%,80%,90%,2,Economics
The historic 7th March speech was delivered at which place?,Suhrawardy Udyan,Paltan Maidan,Shahbag,Ramna Park,0,History
Which is the largest district in Bangladesh by area?,Mymensingh,Rangamati,Sylhet,Dhaka,1,Geography
What is the currency of Bangladesh?,Rupee,Taka,Paisa,Dinar,1,General Knowledge
In which year did Bangladesh win its first Cricket World Cup match?,1997,1999,2003,2007,1,Sports
Who wrote the national anthem of Bangladesh?,Rabindranath Tagore,Kazi Nazrul Islam,Jasimuddin,Shamsur Rahman,0,Culture
